"Year"	"Nominal GDP"	"Real GDP"	"Population"
1790	0,19	4,03	3929
1791	0,20	4,27	4048
1792	0,22	4,58	4172
1793	0,25	4,95	4299
1794	0,31	5,60	4429
1795	0,38	5,96	4563
1796	0,41	6,15	4701
1797	0,41	6,27	4844
1798	0,41	6,54	4990
1799	0,44	7,00	5141
1800	0,48	7,40	5297
1801	0,51	7,76	5461
1802	0,45	8,00	5632
1803	0,48	8,14	5809
1804	0,53	8,45	5991
1805	0,56	8,90	6180
1806	0,61	9,32	6379
1807	0,58	9,33	6588
1808	0,64	9,35	6797
1809	0,68	10,07	7009
1810	0,70	10,63	7224
1811	0,76	11,11	7436
1812	0,78	11,55	7651
1813	0,96	12,21	7867
1814	1,07	12,72	8085
1815	0,92	12,82	8308
1816	0,81	12,82	8540
1817	0,76	13,12	8790
1818	0,73	13,60	9057
1819	0,72	13,86	9335
1820	0,70	14,41	9618
1821	0,73	15,18	9899
1822	0,80	15,76	10189
1823	0,75	16,33	10488
1824	0,75	17,30	10795
1825	0,81	18,07	11115
1826	0,86	18,71	11449
1827	0,91	19,29	11797
1828	0,89	19,55	12158
1829	0,92	20,30	12525
1830	1,01	22,16	12901
1831	1,04	23,99	13277
1832	1,12	25,61	13676
1833	1,15	26,40	14086
1834	1,21	26,85	14504
1835	1,33	28,27	14917
1836	1,46	29,11	15340
1837	1,54	29,37	15790
1838	1,58	30,59	16224
1839	1,65	31,37	16656
1840	1,56	31,46	17120
1841	1,64	32,17	17612
1842	1,60	33,19	18124
1843	1,55	34,84	18641
1844	1,69	36,82	19157
1845	1,84	39,15	19708
1846	2,04	42,33	20313
1847	2,39	45,21	20987
1848	2,40	46,73	21706
1849	2,40	47,38	22464
1850	2,56	49,59	23261
1851	2,70	53,58	24095
1852	3,04	59,76	24999
1853	3,28	64,65	25911
1854	3,68	66,88	26856
1855	3,94	69,67	27727
1856	4,01	72,47	28497
1857	4,14	72,84	29298
1858	4,05	75,79	30068
1859	4,38	81,28	30780
1860	4,35	82,11	31513
1861	4,60	83,57	32215
1862	5,79	93,95	32889
1863	7,62	101,18	33607
1864	9,46	102,33	34376
1865	9,88	105,26	35182
1866	8,99	100,43	36052
1867	8,34	102,15	36970
1868	8,15	106,13	37885
1869	7,85	109,02	38870
1870	7,74	112,3	39905
1871	7,59	117,6	41010
1872	8,23	127,5	42066
1873	8,75	138,3	43225
1874	8,48	140,8	44429
1875	8,16	140,6	45492
1876	8,31	146,4	46459
1877	8,52	153,7	47400
1878	8,38	158,6	48319
1879	9,36	177,1	49264
1880	10,4	191,8	50262
1881	11,6	215,8	51466
1882	12,2	227,3	52893
1883	12,3	233,5	54435
1884	11,8	229,7	55826
1885	11,6	230,5	57128
1886	12,2	249,2	58258
1887	13,1	267,3	59357
1888	13,9	282,7	60614
1889	13,9	290,8	61893
1890	15,1	319,1	63056
1891	15,4	322,8	64432
1892	16,4	339,3	65920
1893	15,4	319,6	67470
1894	14,1	304,5	68910
1895	15,6	339,2	70076
1896	15,5	333,6	71188
1897	16,2	348,0	72441
1898	18,1	386,1	73600
1899	19,5	412,5	74793
1900	20,6	422,8	76094
1901	22,3	445,3	77584
1902	24,1	468,2	79163
1903	25,9	481,8	80632
1904	25,7	464,8	82166
1905	28,8	517,2	83822
1906	31,0	538,4	85450
1907	33,9	552,2	87008
1908	30,1	492,5	88710
1909	32,2	528,1	90490
1910	33,4	533,8	92407
1911	34,3	551,1	93863
1912	37,4	576,9	95335
1913	39,1	599,7	97225
1914	36,5	553,7	99111
1915	38,7	568,8	100546
1916	49,6	647,7	101961
1917	59,7	631,7	103414
1918	75,8	688,7	104550
1919	78,3	694,2	105063
1920	88,4	687,7	106461
1921	73,6	671,9	108538
1922	73,4	709,3	110049
1923	85,4	802,6	111947
1924	86,9	827,4	114109
1925	90,6	846,8	115829
1926	96,9	902,1	117397
1927	95,5	910,8	119035
1928	97,4	921,3	120509
1929	103,6	977,0	121878
1930	91,2	892,8	123188
1931	76,5	834,9	124149
1932	58,7	725,8	124949
1933	56,4	716,4	125690
1934	66,0	794,4	126485
1935	73,3	865,0	127362
1936	83,8	977,9	128181
1937	91,9	1028,0	128961
1938	86,1	992,6	129969
1939	92,2	1072,8	131028
1940	101,4	1166,9	132122
1941	126,7	1366,1	133402
1942	161,9	1618,2	134860
1943	198,6	1883,1	136739
1944	219,8	2035,2	138397
1945	223,0	2012,4	139928
1946	222,2	1792,2	141389
1947	244,1	1776,1	144126
1948	269,1	1854,2	146631
1949	267,2	1844,7	149188
1950	293,7	2006,0	151684
1951	339,3	2161,1	154287
1952	358,3	2243,9	156954
1953	379,3	2347,2	159565
1954	380,4	2332,4	162391
1955	414,7	2500,3	165275
1956	437,4	2549,7	168221
1957	461,1	2601,1	171274
1958	467,2	2577,6	174141
1959	506,6	2762,5	177130
1960	526,4	2830,9	180760
1961	544,8	2896,9	183742
1962	585,7	3072,4	186590
1963	617,8	3206,7	189300
1964	663,6	3392,3	191927
1965	719,1	3610,1	194347
1966	787,7	3845,3	196599
1967	832,4	3942,5	198752
1968	909,8	4133,4	200745
1969	984,4	4261,8	202736
1970	1038,3	4269,9	205089
1971	1126,8	4413,3	207692
1972	1237,9	4647,7	209924
1973	1382,3	4917,0	211939
1974	1499,5	4889,9	213898
1975	1637,7	4879,5	215981
1976	1824,6	5141,3	218086
1977	2030,1	5377,7	220289
1978	2293,8	5677,6	222629
1979	2562,2	5855,0	225106
1980	2788,1	5839,0	227726
1981	3126,8	5987,2	230008
1982	3253,2	5870,9	232218
1983	3534,6	6136,2	234333
1984	3930,9	6577,1	236394
1985	4217,5	6849,3	238506
1986	4460,1	7086,5	240683
1987	4736,4	7313,3	242843
1988	5100,4	7613,9	245061
1989	5482,1	7885,9	247387
1990	5800,5	8033,9	250181
1991	5992,1	8015,1	253530
1992	6342,3	8287,1	256922
1993	6667,4	8523,4	260282
1994	7085,2	8870,7	263455
1995	7414,7	9093,7	266588
1996	7838,5	9433,9	269714
1997	8332,4	9854,3	272958
1998	8793,5	10283,5	276154
1999	9353,5	10779,8	279328
2000	9951,5	11226,0	282413
2001	10286,2	11347,2	285294
2002	10642,3	11553,0	288055
2003	11142,1	11840,7	290729
2004	11867,8	12263,8	293348
2005	12638,4	12638,4	296000
2006	13398,9	12976,2	298820
2007	14077,6	13254,1	301737
2008	14441,4	13312,2	304530
2009	14258,2	12990,3	307483
