"Table 1.1.5. Gross Domestic Product"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: May 26, 2017 - Next Release Date June 29, 2017"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1","        Gross domestic product",104.6,92.2,77.4,59.5,57.2,66.8,74.3,84.9,93.0,87.4,93.5,102.9,129.4,166.0,203.1,224.6,228.2,227.8,249.9,274.8,272.8,300.2,347.3,367.7,389.7,391.1,426.2,450.1,474.9,482.0,522.5,543.3,563.3,605.1,638.6,685.8,743.7,815.0,861.7,942.5,1019.9,1075.9,1167.8,1282.4,1428.5,1548.8,1688.9,1877.6,2086.0,2356.6,2632.1,2862.5,3211.0,3345.0,3638.1,4040.7,4346.7,4590.2,4870.2,5252.6,5657.7,5979.6,6174.0,6539.3,6878.7,7308.8,7664.1,8100.2,8608.5,9089.2,9660.6,10284.8,10621.8,10977.5,11510.7,12274.9,13093.7,13855.9,14477.6,14718.6,14418.7,14964.4,15517.9,16155.3,16691.5,17393.1,18036.6,18569.1
"2","Personal consumption expenditures",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89.0,99.9,108.6,120.0,144.3,162.0,175.0,178.5,192.2,208.5,219.5,233.0,239.9,258.7,271.6,286.7,296.0,317.5,331.6,342.0,363.1,382.5,411.2,443.6,480.6,507.4,557.4,604.5,647.7,701.0,769.4,851.1,932.0,1032.8,1150.2,1276.7,1426.2,1589.5,1754.6,1937.5,2073.9,2286.5,2498.2,2722.7,2898.4,3092.1,3346.9,3592.8,3825.6,3960.2,4215.7,4471.0,4741.0,4984.2,5268.1,5560.7,5903.0,6307.0,6792.4,7103.1,7384.1,7765.5,8260.0,8794.1,9304.0,9750.5,10013.6,9847.0,10202.2,10689.3,11050.6,11361.2,11863.4,12283.7,12757.9
"3","    Goods",43.8,38.2,31.7,24.1,23.8,28.5,31.6,36.0,38.4,36.0,37.9,40.6,47.4,51.0,56.3,60.5,67.6,86.2,99.4,107.4,108.1,116.8,124.8,128.8,134.8,135.8,147.4,152.2,159.6,161.6,172.6,177.0,178.8,189.0,198.2,212.3,229.7,249.6,259.0,284.6,304.7,318.8,342.1,373.8,416.6,451.5,491.3,546.3,600.4,663.6,737.9,799.8,869.4,899.3,973.8,1063.7,1137.6,1195.6,1256.3,1337.3,1423.8,1491.3,1497.4,1563.3,1642.3,1746.6,1815.5,1917.7,2006.8,2108.7,2286.8,2452.9,2525.2,2598.6,2721.6,2900.3,3080.3,3235.8,3361.6,3375.7,3198.4,3362.8,3596.5,3739.1,3834.5,3970.5,4012.1,4098.4
"4","        Durable goods",9.8,7.7,5.9,4.0,3.8,4.6,5.5,6.7,7.4,6.1,7.2,8.3,10.3,7.6,7.5,7.7,9.1,17.1,21.8,24.5,26.6,32.4,31.7,31.2,34.6,33.7,40.7,40.2,42.0,39.5,44.9,45.6,44.2,49.5,54.2,59.6,66.4,71.7,74.0,84.8,90.5,90.0,102.4,116.4,130.5,130.2,142.2,168.6,192.0,213.3,226.3,226.4,243.9,253.0,295.0,342.2,380.4,421.4,442.0,475.1,494.3,497.1,477.2,508.1,551.5,607.2,635.7,676.3,715.5,779.3,855.6,912.6,941.5,985.4,1017.5,1079.8,1127.2,1156.1,1184.6,1102.3,1023.3,1070.7,1125.3,1191.9,1241.7,1294.8,1355.2,1402.9
"5","        Nondurable goods",33.9,30.5,25.8,20.2,20.0,23.9,26.1,29.2,31.0,29.9,30.8,32.3,37.2,43.4,48.9,52.8,58.5,69.1,77.6,83.0,81.5,84.4,93.0,97.5,100.2,102.1,106.7,112.0,117.6,122.0,127.7,131.4,134.6,139.5,143.9,152.7,163.3,177.9,185.0,199.8,214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.2,1329.4,1431.2,1540.3,1583.7,1613.2,1704.0,1820.4,1953.1,2079.7,2176.9,2273.4,2175.1,2292.1,2471.1,2547.2,2592.8,2675.7,2656.9,2695.5
"6","    Services",33.6,32.0,29.0,24.6,22.2,23.0,24.3,26.2,28.5,28.3,29.3,30.7,33.6,38.0,43.6,48.1,52.4,58.1,62.6,67.6,70.4,75.4,83.7,90.7,98.2,104.2,111.3,119.4,127.1,134.5,144.9,154.6,163.2,174.1,184.3,198.9,213.9,231.0,248.4,272.8,299.8,328.9,358.9,395.6,434.5,480.5,541.4,603.9,676.3,762.6,851.6,954.8,1068.1,1174.6,1312.7,1434.5,1585.1,1702.8,1835.8,2009.6,2169.0,2334.3,2462.7,2652.4,2828.7,2994.5,3168.6,3350.4,3554.0,3794.3,4020.3,4339.5,4577.9,4785.5,5044.0,5359.8,5713.8,6068.2,6388.9,6637.9,6648.5,6839.4,7092.8,7311.5,7526.7,7892.9,8271.6,8659.6
"7","Gross private domestic investment",17.2,11.4,6.5,1.8,2.3,4.3,7.4,9.4,13.0,7.9,10.2,14.6,19.4,11.8,7.4,9.2,12.4,33.1,37.1,50.3,39.1,56.5,62.8,57.3,60.4,58.1,73.8,77.7,76.5,70.9,85.7,86.5,86.6,97.0,103.3,112.2,129.6,144.2,142.7,156.9,173.6,170.1,196.8,228.1,266.9,274.5,257.3,323.2,396.6,478.4,539.7,530.1,631.2,581.0,637.5,820.1,829.6,849.1,892.2,937.0,999.7,993.5,944.3,1013.0,1106.8,1256.5,1317.5,1432.1,1595.6,1735.3,1884.2,2033.8,1928.6,1925.0,2027.9,2276.7,2527.1,2680.6,2643.7,2424.8,1878.1,2100.8,2239.9,2511.7,2706.3,2886.5,3056.6,3035.7
"8","    Fixed investment",15.6,11.7,7.7,4.2,3.7,4.9,6.2,8.2,10.3,8.5,10.0,12.2,15.0,9.9,8.1,10.1,13.9,27.1,37.7,44.7,41.8,50.8,52.8,53.8,58.5,60.0,68.8,73.7,75.7,71.3,81.7,83.2,83.6,90.9,97.7,107.3,120.4,130.6,132.8,147.9,164.4,168.0,188.6,219.0,251.1,260.5,263.5,306.1,374.3,452.6,521.7,536.4,601.4,595.9,643.3,754.7,807.8,842.6,865.0,918.5,972.0,978.9,944.7,996.7,1086.0,1192.7,1286.3,1401.3,1524.7,1671.6,1823.4,1979.2,1966.9,1906.5,2008.7,2212.8,2467.5,2613.7,2609.3,2456.8,2025.7,2039.3,2198.1,2449.9,2613.9,2821.0,2963.2,3014.8
"9","        Nonresidential",11.6,9.2,5.8,3.3,3.0,3.8,4.8,6.4,8.2,6.3,6.9,8.5,10.8,7.5,6.6,8.6,12.1,19.2,25.5,28.9,26.9,30.0,34.2,34.9,38.8,38.6,43.4,49.7,53.1,48.5,53.1,56.4,56.6,61.2,64.8,72.2,85.2,97.2,99.2,107.7,120.0,124.6,130.4,146.6,172.7,191.1,196.8,219.3,259.1,314.6,373.8,406.9,472.9,485.1,482.2,564.3,607.7,607.8,615.2,662.3,716.0,739.2,723.6,741.9,799.2,868.9,962.2,1043.2,1149.1,1252.8,1361.6,1493.8,1453.9,1348.9,1371.7,1463.1,1611.5,1776.3,1920.6,1941.0,1633.4,1658.2,1812.1,2007.7,2094.4,2251.0,2311.3,2308.8
"10","            Structures",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10.0,12.0,12.2,13.6,13.9,15.2,18.2,19.0,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55.0,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.9,281.8,301.8,345.6,415.6,496.9,552.4,438.2,362.0,381.6,448.0,463.6,530.7,507.3,493.8
